X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-1.975111,43.325194,828686,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,DONOSTIA-SAN SEBASTIAN,20002,"CL AVENIDA DE LA ZURRIOLA, 32",D,-1.975111,43.325194,1.255,1.135,,,1.205,,,,1.355,,,,PETRONOR,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-15T00:00:00.000Z
-1.954083,43.295111,828687,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,DONOSTIA-SAN SEBASTIAN,20014,"Pº DE MARTUTENE (GI-131 km 4,7)",I,-1.954083,43.295111,1.239,1.119,0.889,,1.189,,,,1.339,,,,AVIA,P,dm,"L-V: 06:00-22:00; S-D: 07:00-14:00","L-V: 06:00-22:00; S-D: 07:00-14:00",,2017-04-15T00:00:00.000Z
-1.970639,43.325889,828688,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,DONOSTIA-SAN SEBASTIAN,20013,AVDA.DE NAVARRA 5,N,-1.970639,43.325889,1.249,1.119,,,1.189,,,,1.289,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.949639,43.304556,828689,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,DONOSTIA-SAN SEBASTIAN,20012,"VIAL MARTUTENE-INCHAURRONDO km 5,5",D,-1.949639,43.304556,1.219,1.099,,,1.149,,,,1.289,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.023,43.25425,828690,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,ZUBIETA,20160,"AVENIDA HIPODROMO, S/N",N,-2.023,43.25425,1.159,1.119,,,1.209,,,,,,,,GALP,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.943889,43.311194,828691,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,DONOSTIA-SAN SEBASTIAN,20015,"CALLE GARBERA BIDEA, 2",N,-1.943889,43.311194,1.159,1.029,,,1.089,,,,1.289,,,,EROSKI,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.943667,43.321667,828692,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,DONOSTIA-SAN SEBASTIAN,20017,"AVENIDA SAN PEDRO, 3",D,-1.943667,43.321667,1.249,1.119,,,1.189,,,,1.359,,,,REPSOL,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30,,2017-04-15T00:00:00.000Z
-2.02525,43.247361,828693,GUIPÚZCOA,DONOSTIA-SAN SEBASTIÁN,ZUBIETA,20160,"AUTOVIA A-1 KM. 454,600",I,-2.02525,43.247361,1.265,1.141,,,1.201,,,,1.38,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.487861,43.180389,828694,GUIPÚZCOA,EIBAR,EIBAR,20600,"CALLE TORREKUA, 02",D,-2.487861,43.180389,1.245,1.125,0.789,,1.165,,,,1.325,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.482917,43.181611,828695,GUIPÚZCOA,EIBAR,EIBAR,20600,"CALLE OTAOLA, 13",N,-2.482917,43.181611,1.245,1.125,0.799,,1.165,1.125,,,1.325,,,,AVIA-KANTOI,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.454556,43.189972,828696,GUIPÚZCOA,EIBAR,EIBAR,20600,"CALLE BARRENA, 19",N,-2.454556,43.189972,1.255,1.135,0.789,,1.175,,,,1.395,,,,AVIA-ACITAIN,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.40875,43.219167,828697,GUIPÚZCOA,ELGOIBAR,ELGOIBAR,20870,"CR N-634, 56,7",I,-2.40875,43.219167,1.259,1.119,,,1.199,,,,1.379,,,,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.905194,43.316139,828698,GUIPÚZCOA,ERRENTERIA,RENTERIA,20100,"AVENIDA NAVARRA, 81",D,-1.905194,43.316139,1.244,1.119,,,1.209,,,,1.379,,,,GALP,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.5345,43.013833,828699,GUIPÚZCOA,ESKORIATZA,ESKORIATZA,20540,"PASEO AINGERU, 8",I,-2.5345,43.013833,1.259,1.139,,,1.139,,,,1.299,,,,PETRONOR,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-2.532917,43.015444,828700,GUIPÚZCOA,ESKORIATZA,APOTZAGA,20540,"AUTOPISTA AP-1 KM. 121,500",I,-2.532917,43.015444,1.285,1.169,,,1.239,,,,1.405,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.982444,43.279778,828701,GUIPÚZCOA,HERNANI,HERNANI,20120,AUTOPISTA AP-8 KM. 22,D,-1.982444,43.279778,1.295,1.169,0.848,,1.239,,,,1.415,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.98425,43.278472,828702,GUIPÚZCOA,HERNANI,HERNANI,20120,AUTOPISTA AP-8 KM. 22,I,-1.98425,43.278472,1.295,1.169,0.848,,1.239,,,,1.415,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.000944,43.277667,828703,GUIPÚZCOA,HERNANI,HERNANI,20120,"CR GI-2132, 0,4",D,-2.000944,43.277667,1.275,1.155,,,1.225,,,,1.395,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-2.001361,43.278056,828704,GUIPÚZCOA,HERNANI,HERNANI,20120,"CR  GI-2132 P.K. 0,4 M.I.",I,-2.001361,43.278056,1.275,1.155,,,1.225,,,,1.395,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.968278,43.266944,828705,GUIPÚZCOA,HERNANI,HERNANI,20120,"BARRIO AKARREGI, 23",N,-1.968278,43.266944,1.269,1.149,0.889,,1.209,,,,1.369,,,,AVIA,P,dm,"L-V: 06:30-21:30; S: 07:00-21:30; D: 08:00-21:00","L-V: 06:30-21:30; S: 07:00-21:30; D: 08:00-21:00",,2017-04-15T00:00:00.000Z
-1.806944,43.347167,828706,GUIPÚZCOA,HONDARRIBIA,HONDARRIBIA,20280,CARRETERA GI-636 KM. 13,D,-1.806944,43.347167,1.159,1.029,,,1.029,,,,,,,,EASYGAS,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.808528,43.347556,828707,GUIPÚZCOA,HONDARRIBIA,HONDARRIBIA,20280,CARRETERA GI-636 KM. 13,I,-1.808528,43.347556,1.159,1.029,,,1.029,,,,,,,,EASYGAS,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.794389,43.356444,828708,GUIPÚZCOA,HONDARRIBIA,HONDARRIBIA,20280,"CALLE GABARRARI, 22",N,-1.794389,43.356444,1.244,1.109,,,1.199,,,,1.409,,,,GALP,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-15T00:00:00.000Z
-2.228333,42.949306,828709,GUIPÚZCOA,IDIAZABAL,IDIAZABAL,20213,"AUTOVIA A-1 KM. 406,000",I,-2.228333,42.949306,1.259,1.135,0.839,,1.195,,,,1.374,,,,CEPSA ETXEGARATE,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.827139,43.328889,828710,GUIPÚZCOA,IRUN,IRUN,20305,"AVENIDA ELIZATXO (N-I KM 480,5), 64",D,-1.827139,43.328889,1.265,1.155,,,1.215,,,,1.38,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.827556,43.329333,828711,GUIPÚZCOA,IRUN,IRUN,20305,"AVENIDA ELIZATXO (N-I KM 480,5), 64",I,-1.827556,43.329333,1.265,1.155,,,1.215,,,,1.38,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.760472,43.342111,828712,GUIPÚZCOA,IRUN,IRUN,20305,"PASEO ENDARLAZA, S/N",D,-1.760472,43.342111,1.249,1.189,,,,,,,1.359,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.762,43.342556,828713,GUIPÚZCOA,IRUN,IRUN,20305,"CALLE MARIA JUNCAL LABANDIBAR, 6",I,-1.762,43.342556,1.249,1.119,,,,,,,1.359,,,,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.754111,43.341111,828714,GUIPÚZCOA,IRUN,IRUN,20305,"CALLE TERMINAL DE ZAISA-BEHOBIA, S/N (CTRA. NAC.1), 484",D,-1.754111,43.341111,1.249,1.155,0.829,,1.189,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.819028,43.330917,828715,GUIPÚZCOA,IRUN,IRUN,20305,"AVENIDA LETXUMBORRO, 81",N,-1.819028,43.330917,1.159,1.089,,,1.179,,,,,,,,GALP,P,OM,"L-V: 06:00-00:00; S: 08:00-22:00; D: 08:00-00:00","L-V: 06:00-00:00; S: 08:00-22:00; D: 08:00-00:00",,2017-04-15T00:00:00.000Z
-1.83675,43.325722,828716,GUIPÚZCOA,IRUN,IRUN,20305,"CALLE MAZUOLA, 4",D,-1.83675,43.325722,,1.175,0.844,,,,,,,,,,IDS,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.817028,43.333889,828717,GUIPÚZCOA,IRUN,IRUN,20305,"CL AVENIDA DE LTXUMBORRO, S.N.",I,-1.817028,43.333889,1.279,1.135,,,1.205,,,,,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.787028,43.347278,828718,GUIPÚZCOA,IRUN,IRUN,20304,"AVENIDA IPARRALDE, 42",D,-1.787028,43.347278,1.295,1.139,,,1.209,,,,1.415,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.787361,43.347222,828719,GUIPÚZCOA,IRUN,IRUN,20304,"CL AVENIDA DE IPARRALDE , 43",I,-1.787361,43.347222,1.295,1.139,,,,,,,,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-1.764556,43.339056,828720,GUIPÚZCOA,IRUN,IRUN,20305,"CL ANTXOTXIPI , 15",D,-1.764556,43.339056,1.285,1.169,0.838,,1.239,,,,1.385,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
