X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-2.509361,42.846028,704359,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,"CL MANISITU, 9",D,-2.509361,42.846028,,1.073,0.726,,,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.989111,43.044333,704360,ÁLAVA,AMURRIO,LARRINBE,01468,"POLIGONO ZANKUETA, 0",D,-2.989111,43.044333,1.169,1.029,,,1.119,,,,1.259,,,,ESTACIONES GB,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.967611,43.031889,704361,ÁLAVA,AMURRIO,LEZAMA,01450,"CARRETERA A-624 KM. 37,8",D,-2.967611,43.031889,1.226,1.109,,,1.169,,,,1.341,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-03T00:00:00.000Z
-2.639528,42.941417,704362,ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,01510,"N-240-B km 11,8",D,-2.639528,42.941417,1.219,1.109,,,1.169,,,,1.334,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-03T00:00:00.000Z
-2.616361,42.876861,704363,ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,01520,AUTOVIA N-1 km 358,N,-2.616361,42.876861,1.219,1.089,,1.371,1.149,1.089,,,1.319,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-3.122528,43.123361,704364,ÁLAVA,ARTZINIEGA,ARTZINIEGA,01474,"AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)",D,-3.122528,43.123361,1.195,1.085,0.785,,1.165,,,,1.315,,,,AVIA ,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.278694,42.866417,704365,ÁLAVA,ASPARRENA,ILARDUIA,01260,"N-IA km 385,1",I,-2.278694,42.866417,1.169,1.079,,,1.139,,,,,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.357278,42.670222,704366,ÁLAVA,CAMPEZO/KANPEZU,SANTA CRUZ CAMPEZO,01110,"CR A-132  VITORIA-ESTELLA, 38,1",I,-2.357278,42.670222,1.18,1.039,0.8,,1.18,,,,,,,,PETRONOR,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-03T00:00:00.000Z
-2.518167,42.878556,704367,ÁLAVA,ELBURGO/BURGELU,ELBURGO/BURGELU,01192,"CARRETERA N-1 KM. 364,4",D,-2.518167,42.878556,1.249,1.125,,,1.18,,,,1.349,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-03T00:00:00.000Z
-2.77475,42.82525,704368,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE TRATADO DE MAASTRICH, 1",D,-2.77475,42.82525,,1.119,0.799,,,,,,,,,,PETRONIEVES,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.770694,42.824389,704369,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2",D,-2.770694,42.824389,,,,,,,,,,0.926,0.926,,GAS NATURAL FENOSA,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.77225,42.823778,704370,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE TRATADO DE PARIS, 6",D,-2.77225,42.823778,1.109,0.993,,,,,,,,,,,EUROCAM,P,dm,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.849833,42.635194,704371,ÁLAVA,LABASTIDA,SALINILLAS DE BURADON,01212,CARRETERA N-124 KM. 35,I,-2.849833,42.635194,1.199,1.099,0.818,,1.164,,,,1.339,,,,REPSOL,P,OM,"L-V: 07:00-21:45; S-D: 08:00-21:45","L-V: 07:00-21:45; S-D: 08:00-21:45",,2017-04-03T00:00:00.000Z
-2.578806,42.547639,704372,ÁLAVA,LAGUARDIA,LAGUARDIA,01300,CARRETERA A-124 KM. 65,I,-2.578806,42.547639,1.209,1.109,0.818,,1.164,,,,,,,,REPSOL,P,OM,"L-V: 07:00-21:45; S-D: 08:00-21:45","L-V: 07:00-21:45; S-D: 08:00-21:45",,2017-04-03T00:00:00.000Z
-3.04575,42.755583,704373,ÁLAVA,LANTARÓN,PUENTELARRÁ/LARRAZUBI,01423,CARRETERA A-2122 KM. 11,I,-3.04575,42.755583,1.12,1,,,,,,,,,,,AVIA,P,dm,L-D: 07:00-21:00,L-D: 07:00-21:00,,2017-04-03T00:00:00.000Z
-2.968,43.138,704374,ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,"AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N",I,-2.968,43.138,1.149,1.019,,,1.104,,,,1.213,,,,EROSKI,P,dm,L-S: 07:30-21:30,L-S: 07:30-21:30,,2017-04-03T00:00:00.000Z
-2.951361,43.148639,704375,ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,"CL ARETA, 2",D,-2.951361,43.148639,1.229,1.099,,,1.184,,,,1.369,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-03T00:00:00.000Z
-2.432278,42.490611,704376,ÁLAVA,OYÓN/OION,OYON-OION,01320,CARRETERA LOGROÑO KM. 10,D,-2.432278,42.490611,1.199,1.089,0.78,,,,,,1.309,,,,E.S. OION,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-03T00:00:00.000Z
-2.901944,42.81125,704377,ÁLAVA,RIBERA ALTA,POBES,01420,"ACCESO A2622, 0",N,-2.901944,42.81125,1.189,1.079,0.725,,,,,,,,,,E.S. TOCALU S.L.,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-03T00:00:00.000Z
-2.913222,42.741361,704378,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,"AU AP-68, 63,5",I,-2.913222,42.741361,1.235,1.125,,,1.18,,,,1.335,,,,PETRONOR,P,OM,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
-2.913306,42.743111,704379,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,"AU AP-68, 63  D",D,-2.913306,42.743111,1.235,1.125,,,1.18,,,,1.335,,,,PETRONOR,P,OM,L-D: 24H,L-D: 24H,,2017-04-03T00:00:00.000Z
