X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-5.232083,40.139583,795359,ÁVILA,CANDELEDA,CANDELEDA,05480,"CR  AV-910 P.K. 1,910",D,-5.232083,40.139583,1.249,1.129,,,1.169,,,,,,,,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-12T00:00:00.000Z
-5.245833,40.154556,795360,ÁVILA,CANDELEDA,CANDELEDA,05480,"AVENIDA AVIACIÓN ESPAÑOLA, 47",I,-5.245833,40.154556,1.249,1.139,0.829,,1.189,,,,1.359,,,,CEPSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-12T00:00:00.000Z
-4.467778,40.451778,795361,ÁVILA,CEBREROS,CEBREROS,05260,"AV-512 km 0,750",I,-4.467778,40.451778,1.229,1.129,,,1.184,,,,1.344,,,,CEPSA,P,dm,L-D: 07:00-22:30,L-D: 07:00-22:30,,2017-04-12T00:00:00.000Z
-4.758444,40.635333,795362,ÁVILA,COLILLA (LA),COLILLA (LA),05192,"CARRETERA SORIA PLASENCIA KM. 261,5",D,-4.758444,40.635333,1.239,1.129,0.869,,1.189,,,,1.354,,,,CEPSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-12T00:00:00.000Z
-4.972861,40.854417,795363,ÁVILA,CRESPOS,CHAHERRERO,05300,"N-50, AVILA-SALAMANCA km 147,8",D,-4.972861,40.854417,1.179,1.069,,,1.129,,,,,,,,HERMANOS CRUZ (REPOSTAR),P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00,,2017-04-12T00:00:00.000Z
-4.664472,41.010083,795364,ÁVILA,ESPINOSA DE LOS CABALLEROS,ESPINOSA DE LOS CABALLEROS,05296,"CR A-6, 118,5",D,-4.664472,41.010083,1.259,1.149,,,1.149,,,,1.314,,,,REPSOL,P,OM,L-D: 06:00-00:00,L-D: 06:00-00:00,,2017-04-12T00:00:00.000Z
-4.969306,40.930639,795365,ÁVILA,FONTIVEROS,FONTIVEROS,05310,SALVADIOS-ALDEASECA km 10,I,-4.969306,40.930639,1.215,1.099,0.6,,1.099,,,,,,,,SAN JUAN DE LA CRUZ,P,dm,L-S: 08:00-22:00,L-S: 08:00-22:00,,2017-04-12T00:00:00.000Z
-4.427083,40.497806,795366,ÁVILA,HOYO DE PINARES (EL),HOYO DE PINARES (EL),05250,"CARRETERA CEBREROS KM. 6,18",I,-4.427083,40.497806,1.219,1.129,,,1.181,,,,1.334,,,,LIBRE,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-12T00:00:00.000Z
-4.990528,41.096972,795367,ÁVILA,MADRIGAL DE LAS ALTAS TORRES,MADRIGAL ALTAS TORRES,05220,"CAMINO BAJORRO, S/N",D,-4.990528,41.096972,,1.059,0.706,,,,,,,,,,AN-MADRIGAL,P,dm,L-D: 24H,L-D: 24H,,2017-04-12T00:00:00.000Z
-5.0,41.092972,795368,ÁVILA,MADRIGAL DE LAS ALTAS TORRES,MADRIGAL ALTAS TORRES,05220,"CARRETERA CR C610 KM. 26,2",I,-5,41.092972,1.229,1.119,0.79,,1.179,,,,1.354,,,,F.COCA P. S.L.,P,dm,S-D: 07:00-14:00,S-D: 07:00-14:00,,2017-04-12T00:00:00.000Z
-4.663,40.750389,795369,ÁVILA,MINGORRÍA,MINGORRIA,05280,"N-403 km 148,5",D,-4.663,40.750389,1.209,1.079,0.81,,,,,,,,,,MINGORRIA,P,dm,L-D: 08:00-21:30,L-D: 08:00-21:30,,2017-04-12T00:00:00.000Z
-5.014611,40.263972,795370,ÁVILA,MOMBELTRÁN,MOMBELTRAN,05410,"CALLE MAYOR, 56",I,-5.014611,40.263972,1.279,1.139,,,1.139,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-12T00:00:00.000Z
-5.034083,40.575056,795371,ÁVILA,MUÑANA,MUÑANA,05540,CARRETERA AVILA PLASENCIA KM. 286,I,-5.034083,40.575056,1.199,1.039,,,,,,,1.329,,,,"E.S ""EL CARRASCAL""",P,dm,L-D: 08:00-15:00 y 15:05-23:00,L-D: 08:00-15:00 y 15:05-23:00,,2017-04-12T00:00:00.000Z
-5.014111,40.580417,795372,ÁVILA,MUÑANA,MUÑANA,05540,"CR N-110, 285  D",D,-5.014111,40.580417,1.215,1.109,,,1.189,,,,1.335,,,,REPSOL,P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00,,2017-04-12T00:00:00.000Z
-5.019667,40.705694,795373,ÁVILA,MUÑICO,MUÑICO,05145,"CR AV-110, 29  D",D,-5.019667,40.705694,1.22,1.119,,,,,,,,,,,PETRONOR,P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00,,2017-04-12T00:00:00.000Z
-4.936889,40.829389,795374,ÁVILA,MUÑOGRANDE,MUÑOGRANDE,05309,"AUTOVIA A 50 KM. 30,3",D,-4.936889,40.829389,1.255,1.119,,,1.179,,,,1.369,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-12T00:00:00.000Z
-4.410556,40.58525,795375,ÁVILA,NAVALPERAL DE PINARES,NAVALPERAL DE PINARES,05240,CL-505 km 63,I,-4.410556,40.58525,1.249,1.129,0.829,,1.179,,,,1.339,,,,CEPSA,P,dm,L: 07:00-23:00,L: 07:00-23:00,,2017-04-12T00:00:00.000Z
-4.708444,40.413417,795376,ÁVILA,NAVALUENGA,NAVALUENGA,05100,CARRETERA SAN JUAN KM. 1,D,-4.708444,40.413417,1.169,1.049,,,,,,,,,,,AUTOSERVICIO,P,dm,L-D: 07:30-23:00,L-D: 07:30-23:00,,2017-04-12T00:00:00.000Z
-5.133889,40.35975,795377,ÁVILA,NAVARREDONDA DE GREDOS,NAVARREDONDA DE GREDOS,05635,"CALLE BONAL, S/N",D,-5.133889,40.35975,1.196,1.089,,,1.159,,,,1.325,,,,E.S GREDOS,P,dm,L: 08:00-21:00,L: 08:00-21:00,,2017-04-12T00:00:00.000Z
-4.823306,40.454028,795378,ÁVILA,NAVARREDONDILLA,NAVARREDONDILLA,05120,CARRETERA BARCO KM. 34,D,-4.823306,40.454028,1.238,1.109,,,1.169,,,,,,,,REPSOL,P,dm,L: 08:00-22:00,L: 08:00-22:00,,2017-04-12T00:00:00.000Z
-4.333028,40.595167,795379,ÁVILA,NAVAS DEL MARQUÉS (LAS),NAVAS DEL MARQUES (LAS),05230,"CR CL-505, 53,7",D,-4.333028,40.595167,1.239,1.119,,,1.119,,,,1.324,,,,REPSOL,P,OM,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-12T00:00:00.000Z
-4.658639,40.998222,795380,ÁVILA,ORBITA,ORBITA,05296,AUTOVIA A-6 KM. 117,I,-4.658639,40.998222,1.259,1.149,,,1.149,,,,1.314,,,,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-12T00:00:00.000Z
-4.777583,41.132361,795381,ÁVILA,PALACIOS DE GODA,PALACIOS DE GODA,05215,"AUTOVIA NOROESTE A-6 KM. 135,500",I,-4.777583,41.132361,1.244,1.109,,,1.179,,,,1.359,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-12T00:00:00.000Z
-4.886667,40.227139,795382,ÁVILA,PEDRO BERNARDO,PEDRO BERNARDO,05470,"CR C-501 106,3",D,-4.886667,40.227139,1.269,1.135,,,1.205,,,,1.365,,,,PETRONOR,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-12T00:00:00.000Z
-5.325556,40.465194,795383,ÁVILA,PIEDRAHÍTA,PIEDRAHITA,05500,C/ EXTRAMUROS - 6 (TRAVESIA CN - 110),D,-5.325556,40.465194,1.202,1.096,0.865,,1.176,,,,1.335,,,,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-12T00:00:00.000Z
