X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-4.972861,40.854417,865272,ÁVILA,CRESPOS,CHAHERRERO,05300,"N-50, AVILA-SALAMANCA km 147,8",D,-4.972861,40.854417,1.179,1.069,,,1.129,,,,,,,,HERMANOS CRUZ (REPOSTAR),P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00,,2017-04-19T00:00:00.000Z
-4.664472,41.010083,865273,ÁVILA,ESPINOSA DE LOS CABALLEROS,ESPINOSA DE LOS CABALLEROS,05296,"CR A-6, 118,5",D,-4.664472,41.010083,1.249,1.155,,,1.205,,,,1.349,,,,REPSOL,P,OM,L-D: 06:00-00:00,L-D: 06:00-00:00,,2017-04-19T00:00:00.000Z
-4.969306,40.930639,865274,ÁVILA,FONTIVEROS,FONTIVEROS,05310,SALVADIOS-ALDEASECA km 10,I,-4.969306,40.930639,1.235,1.115,0.6,,1.115,,,,,,,,SAN JUAN DE LA CRUZ,P,dm,L-S: 08:00-22:00,L-S: 08:00-22:00,,2017-04-19T00:00:00.000Z
-4.427083,40.497806,865275,ÁVILA,HOYO DE PINARES (EL),HOYO DE PINARES (EL),05250,"CARRETERA CEBREROS KM. 6,18",I,-4.427083,40.497806,1.219,1.129,,,1.181,,,,1.334,,,,LIBRE,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-5.0,41.092972,865276,ÁVILA,MADRIGAL DE LAS ALTAS TORRES,MADRIGAL ALTAS TORRES,05220,"CARRETERA CR C610 KM. 26,2",I,-5,41.092972,1.245,1.135,0.804,,1.195,,,,1.375,,,,F.COCA P. S.L.,P,dm,S-D: 07:00-14:00,S-D: 07:00-14:00,,2017-04-19T00:00:00.000Z
-4.990528,41.096972,865277,ÁVILA,MADRIGAL DE LAS ALTAS TORRES,MADRIGAL ALTAS TORRES,05220,"CAMINO BAJORRO, S/N",D,-4.990528,41.096972,,1.069,0.708,,,,,,,,,,AN-MADRIGAL,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-4.663,40.750389,865278,ÁVILA,MINGORRÍA,MINGORRIA,05280,"N-403 km 148,5",D,-4.663,40.750389,1.209,1.079,0.81,,,,,,,,,,MINGORRIA,P,dm,L-D: 08:00-21:30,L-D: 08:00-21:30,,2017-04-19T00:00:00.000Z
-5.014611,40.263972,865279,ÁVILA,MOMBELTRÁN,MOMBELTRAN,05410,"CALLE MAYOR, 56",I,-5.014611,40.263972,1.279,1.139,,,1.139,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-5.034083,40.575056,865280,ÁVILA,MUÑANA,MUÑANA,05540,CARRETERA AVILA PLASENCIA KM. 286,I,-5.034083,40.575056,1.199,1.039,,,,,,,1.329,,,,"E.S ""EL CARRASCAL""",P,dm,L-D: 08:00-15:00 y 15:05-23:00,L-D: 08:00-15:00 y 15:05-23:00,,2017-04-19T00:00:00.000Z
-5.014111,40.580417,865281,ÁVILA,MUÑANA,MUÑANA,05540,"CR N-110, 285  D",D,-5.014111,40.580417,1.249,1.129,,,1.209,,,,1.365,,,,REPSOL,P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00,,2017-04-19T00:00:00.000Z
-5.019667,40.705694,865282,ÁVILA,MUÑICO,MUÑICO,05145,"CR AV-110, 29  D",D,-5.019667,40.705694,1.239,1.119,,,,,,,,,,,PETRONOR,P,dm,L-D: 08:00-22:00,L-D: 08:00-22:00,,2017-04-19T00:00:00.000Z
-4.936889,40.829389,865283,ÁVILA,MUÑOGRANDE,MUÑOGRANDE,05309,"AUTOVIA A 50 KM. 30,3",D,-4.936889,40.829389,1.255,1.119,,,1.179,,,,1.369,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-4.410556,40.58525,865284,ÁVILA,NAVALPERAL DE PINARES,NAVALPERAL DE PINARES,05240,CL-505 km 63,I,-4.410556,40.58525,1.249,1.129,0.829,,1.179,,,,1.339,,,,CEPSA,P,dm,L: 07:00-23:00,L: 07:00-23:00,,2017-04-19T00:00:00.000Z
-4.708444,40.413417,865285,ÁVILA,NAVALUENGA,NAVALUENGA,05100,CARRETERA SAN JUAN KM. 1,D,-4.708444,40.413417,1.179,1.059,,,,,,,,,,,AUTOSERVICIO,P,dm,L-D: 07:30-23:00,L-D: 07:30-23:00,,2017-04-19T00:00:00.000Z
-5.133889,40.35975,865286,ÁVILA,NAVARREDONDA DE GREDOS,NAVARREDONDA DE GREDOS,05635,"CALLE BONAL, S/N",D,-5.133889,40.35975,1.219,1.109,,,1.159,,,,1.329,,,,E.S GREDOS,P,dm,L: 08:00-21:00,L: 08:00-21:00,,2017-04-19T00:00:00.000Z
-4.823306,40.454028,865287,ÁVILA,NAVARREDONDILLA,NAVARREDONDILLA,05120,CARRETERA BARCO KM. 34,D,-4.823306,40.454028,1.258,1.129,,,1.189,,,,,,,,REPSOL,P,dm,L: 08:00-22:00,L: 08:00-22:00,,2017-04-19T00:00:00.000Z
-4.333028,40.595167,865288,ÁVILA,NAVAS DEL MARQUÉS (LAS),NAVAS DEL MARQUES (LAS),05230,"CR CL-505, 53,7",D,-4.333028,40.595167,1.259,1.129,,,1.209,,,,1.399,,,,REPSOL,P,OM,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-19T00:00:00.000Z
-4.658639,40.998222,865289,ÁVILA,ORBITA,ORBITA,05296,AUTOVIA A-6 KM. 117,I,-4.658639,40.998222,1.249,1.155,,,1.205,,,,1.349,,,,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-4.777583,41.132361,865290,ÁVILA,PALACIOS DE GODA,PALACIOS DE GODA,05215,"AUTOVIA NOROESTE A-6 KM. 135,500",I,-4.777583,41.132361,1.244,1.114,,,1.164,,,,1.369,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-4.886667,40.227139,865291,ÁVILA,PEDRO BERNARDO,PEDRO BERNARDO,05470,"CR C-501 106,3",D,-4.886667,40.227139,1.279,1.165,,,1.225,,,,1.365,,,,PETRONOR,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-5.325556,40.465194,865292,ÁVILA,PIEDRAHÍTA,PIEDRAHITA,05500,C/ EXTRAMUROS - 6 (TRAVESIA CN - 110),D,-5.325556,40.465194,1.236,1.116,0.875,,1.196,,,,1.365,,,,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-5.326889,40.466083,865293,ÁVILA,PIEDRAHÍTA,PIEDRAHITA,05500,"CALLE EXTRAMUROS, S/N",I,-5.326889,40.466083,1.249,1.129,,,1.209,,,,,,,,REPSOL,P,OM,M-J: 08:00-20:00,M-J: 08:00-20:00,,2017-04-19T00:00:00.000Z
-4.873278,40.802917,865294,ÁVILA,SAN PEDRO DEL ARROYO,SAN PEDRO DEL ARROYO,05350,"CALLE CALZADA, S/N",I,-4.873278,40.802917,1.259,1.139,0.889,,1.179,,,,1.379,,,,PETRONOR,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-4.873083,40.803111,865295,ÁVILA,SAN PEDRO DEL ARROYO,SAN PEDRO DEL ARROYO,05350,"CALLE CALZADA, S/N",D,-4.873083,40.803111,1.259,1.139,0.889,,1.179,,,,1.379,,,,PETRONOR,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-4.572917,40.876056,865296,ÁVILA,SANCHIDRIÁN,SANCHIDRIAN,05290,"N-VI km 101,3",I,-4.572917,40.876056,1.249,1.129,,,1.189,,,,1.364,,,,CEPSA,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-4.909028,40.55325,865297,ÁVILA,SOLOSANCHO,SOLOSANCHO,05130,"CARRETERA N-502 KM. 21,200",D,-4.909028,40.55325,1.249,1.139,0.879,,1.199,,,,1.369,,,,REPSOL - SAN ROMAN,P,dm,L: 07:00-00:00,L: 07:00-00:00,,2017-04-19T00:00:00.000Z
-4.579417,40.293194,865298,ÁVILA,SOTILLO DE LA ADRADA,SOTILLO DE LA ADRADA,05420,"CALLE DOCTOR DIAZ PALACIOS, S,N",I,-4.579417,40.293194,1.255,1.159,,,1.219,,,,1.37,,,,CEPSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-4.493583,40.409667,865299,ÁVILA,TIEMBLO (EL),TIEMBLO (EL),05270,"CTRA. N-403-A, PK. km 90",N,-4.493583,40.409667,1.179,1.069,,,,,,,1.294,,,,SARAS,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-4.966528,40.592361,865300,ÁVILA,TORRE (LA),TORRE (LA),05540,CARRETERA N110 KM. 280,D,-4.966528,40.592361,1.169,1.049,,,1.109,,,,,,,,GASLOWCOST,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-4.629861,40.843028,865301,ÁVILA,VELAYOS,VELAYOS,05292,"CARRETERA N-403 AVILA - VALLADOLID KM. 22,500",D,-4.629861,40.843028,1.238,1.128,,,1.214,,,,1.393,,,,BP,P,dm,L: 07:00-21:30,L: 07:00-21:30,,2017-04-19T00:00:00.000Z
-4.849111,41.042333,865302,ÁVILA,VILLANUEVA DEL ACERAL,VILLANUEVA DEL ACERAL,05212,CARRETERA C-605 KM. 72,I,-4.849111,41.042333,1.259,1.129,,,1.189,,,,1.369,,,,"LAS CORREHUELAS, S.L",P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-5.625139,39.084861,865303,BADAJOZ,ACEDERA,GUADALPERALES (LOS),06713,"PLAZA DE LA IGLESIA, S/N",N,-5.625139,39.084861,,1.031,0.669,,,,,,,,,,COOP.GUADALPERALES,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.4955,38.643611,865304,BADAJOZ,ACEUCHAL,ACEUCHAL,06207,"CALLE PADRON DE SAN ANTONIO, S/N",D,-6.4955,38.643611,,1.084,0.744,,,,,,,,,,LA SOLEDAD,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.4872,38.640543,865305,BADAJOZ,ACEUCHAL,ACEUCHAL,06207,"C-423 km 40,6",I,-6.4872,38.640543,1.295,1.179,,,1.249,,,,,,,,CAMPSA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-5.865083,38.264417,865306,BADAJOZ,AHILLONES,AHILLONES,06940,CARRETERA NACIONAL 435 KM. 127,I,-5.865083,38.264417,1.289,1.14,0.879,,,,,,,,,,IBERDOEX,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-19T00:00:00.000Z
-6.261611,38.792417,865307,BADAJOZ,ALANGE,ALANGE,06840,"CARRETERA BA089 KM. 42,700",N,-6.261611,38.792417,1.219,1.089,0.779,,,,,,,,,,HNOS GUILLEN MONTERO S.A.L.,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-6.820583,38.713111,865308,BADAJOZ,ALBUERA (LA),ALBUERA (LA),06170,"CARRETERA CR N-435 KM. 22,50",N,-6.820583,38.713111,1.295,1.179,,,1.249,,,,,,,,REPSOL,P,OM,"L-S: 07:00-22:00; D: 07:00-14:30","L-S: 07:00-22:00; D: 07:00-14:30",,2017-04-19T00:00:00.000Z
-6.854917,38.7635,865309,BADAJOZ,ALBUERA (LA),ALBUERA (LA),06170,"CARRETERA N-432 KM. 15,98",D,-6.854917,38.7635,1.299,1.159,,,1.219,,,,1.414,,,,CEPSA,P,OM,L-D: 07:00-22:50,L-D: 07:00-22:50,,2017-04-19T00:00:00.000Z
-7.00725,39.218583,865310,BADAJOZ,ALBURQUERQUE,ALBURQUERQUE,06510,"CARRETERA CTRA. N-530 KM. 33,00",N,-7.00725,39.218583,1.279,1.159,,,1.219,,,,,,,,GALP,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.997528,39.198917,865311,BADAJOZ,ALBURQUERQUE,ALBURQUERQUE,06501,"CARRETERA EX-110 KM. 34,60",D,-6.997528,39.198917,1.279,1.149,0.879,,1.239,,,,,,,,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-7.06775,38.516333,865312,BADAJOZ,ALCONCHEL,ALCONCHEL,06131,"EX-107 km 43,5",I,-7.06775,38.516333,1.285,1.169,0.796,,1.229,,,,1.4,,,,CEPSA,P,dm,L: 08:00-20:00,L: 08:00-20:00,,2017-04-19T00:00:00.000Z
-6.81775,38.614778,865313,BADAJOZ,ALMENDRAL,ALMENDRAL,06171,"CR N-435, 34,8",D,-6.81775,38.614778,1.275,1.159,0.805,,1.209,,,,,,,,REPSOL,P,dm,L: 07:00-23:00,L: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.390583,38.740472,865314,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"CARRETERA N-630 KM. 643,915",I,-6.390583,38.740472,1.28,1.16,,,,,,,1.4,,,,0,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-6.429722,38.687389,865315,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"AVENIDA AVDA DE ARUA, 1, ",D,-6.429722,38.687389,1.215,1.125,,,,,,,,,,,AQUOIL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-6.405556,38.691944,865316,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,CARRETERA GIJÓN-SEVILLA KM. 38,D,-6.405556,38.691944,1.159,1.019,,,,,,,,,,,LOW COST LOS POZUELOS,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.391006,38.687376,865317,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"CTRA DE ALANGE  EX 105-R, KM km 1,9",D,-6.391006,38.687376,1.21,1.09,,,,,,,1.29,,,,E. S. SAN ISIDRO,P,dm,L: 06:00-22:00,L: 06:00-22:00,,2017-04-19T00:00:00.000Z
-6.408139,38.695361,865318,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"CALLE CONSTRUCCION, SN",N,-6.408139,38.695361,,1.135,,,,,,,,,,,SETTRAN,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.408778,38.692139,865319,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"CALLE ELECTRTICIDAD, S/N",D,-6.408778,38.692139,1.279,1.159,,,1.229,,,,,,,,E.S. ANTÚNEZ (SARAS),P,dm,L-D: 06:00-22:30,L-D: 06:00-22:30,,2017-04-19T00:00:00.000Z
-6.390167,38.672389,865320,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"AVENIDA DE SEVILLA, 140",D,-6.390167,38.672389,1.19,1.05,,,1.1,,,,1.27,,,,E.LECLERC,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.397583,38.710889,865321,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,CARRETERA GIJON-SEVILLA KM. 648,I,-6.397583,38.710889,1.289,1.165,,,1.229,,,,1.429,,,,CEPSA,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.422972,38.677528,865322,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,CTRA.ACEUCHAL S/N (CTRA.DON BENITO-OLIVENZA C-243 km 71.425),D,-6.422972,38.677528,1.259,1.139,0.818,,1.229,,,,1.375,,,,GASOLINERA SAN ROQUE,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00,,2017-04-19T00:00:00.000Z
-6.411306,38.693806,865323,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"CALLE MECANICA, 12",N,-6.411306,38.693806,1.209,1.069,,,1.139,,,,,,,,SHELL,P,OM,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.393389,38.677167,865324,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,"CARRETERA GIJON-SEVILLA KM. 651,8",I,-6.393389,38.677167,1.16,1.03,,,,,,,,,,,GASO 10,P,dm,"L-S: 06:30-22:30; D: 08:00-20:00","L-S: 06:30-22:30; D: 08:00-20:00",,2017-04-19T00:00:00.000Z
-6.393417,38.676944,865325,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,CARRETERA CR.GIJON SEVILLA KM651 KM. 651,D,-6.393417,38.676944,1.295,1.179,,,1.259,,,,1.435,,,,REPSOL,P,OM,L-D: 06:30-22:00,L-D: 06:30-22:00,,2017-04-19T00:00:00.000Z
-6.417806,38.687056,865326,BADAJOZ,ALMENDRALEJO,ALMENDRALEJO,06200,CARRETERA BADAJOZ KM. S/N,I,-6.417806,38.687056,1.295,1.179,,,1.259,,,,1.435,,,,REPSOL,P,OM,L-D: 06:30-22:00,L-D: 06:30-22:00,,2017-04-19T00:00:00.000Z
-6.455306,38.858139,865327,BADAJOZ,ARROYO DE SAN SERVÁN,ARROYO DE SAN SERVAN,06850,"AVENIDA EXTREMADURA, S/N",D,-6.455306,38.858139,1.295,1.179,,,,,,,,,,,REPSOL,P,OM,L-S: 06:00-22:00,L-S: 06:00-22:00,,2017-04-19T00:00:00.000Z
-6.454028,38.851639,865328,BADAJOZ,ARROYO DE SAN SERVÁN,ARROYO DE SAN SERVAN,06850,"C/ ENCARNACION, S/N",D,-6.454028,38.851639,,1.052,0.657,,,,,,,,,,COOP. PERALES,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-5.694639,38.260833,865329,BADAJOZ,AZUAGA,AZUAGA,06920,"CALLE MINA LA OSCURIDAD, 61",D,-5.694639,38.260833,1.229,1.099,,,,,,,,,,,BURBUJAS,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-5.684944,38.261556,865330,BADAJOZ,AZUAGA,AZUAGA,06920,"AVENIDA ESTALAJES, S,N",I,-5.684944,38.261556,1.295,1.179,,,1.249,,,,1.415,,,,REPSOL,P,OM,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-19T00:00:00.000Z
-5.677333,38.275139,865331,BADAJOZ,AZUAGA,AZUAGA,06920,"CARRETERA BADAJOZ-GRANADA KM. 146,7",D,-5.677333,38.275139,1.235,1.139,0.818,,1.239,,,,1.409,,,,SEA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-19T00:00:00.000Z
-6.967556,38.850944,865332,BADAJOZ,BADAJOZ,BADAJOZ,06010,CARRETERA VALVERDE DE LEGANES KM. ,D,-6.967556,38.850944,1.239,1.149,,,1.239,,,,1.419,,,,BP SANCHA BRAVA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.953,38.874611,865333,BADAJOZ,BADAJOZ,BADAJOZ,06009,"CALLE CORTE DE PELEAS, 114",D,-6.953,38.874611,1.159,1.029,,,,,,,,,,,IBERDOEX,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.966111,38.846028,865334,BADAJOZ,BADAJOZ,BADAJOZ,06010,CR BA-200 K.M.  3.2,N,-6.966111,38.846028,1.279,1.159,,,1.239,,,,1.419,,,,LAS VAGUADAS  S.A.L. (BP),P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.990333,38.883861,865335,BADAJOZ,BADAJOZ,BADAJOZ,06006,"AVENIDA ADOLFO DIAZ AMBRONA, 60",N,-6.990333,38.883861,1.285,1.145,,,1.235,,,,1.395,,,,GALP,P,OM,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.970194,38.893389,865336,BADAJOZ,BADAJOZ,BADAJOZ,06005,CARRETERA N-523 KM. 87,N,-6.970194,38.893389,1.285,1.145,,,1.235,,,,1.395,,,,GALP,P,OM,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.94725,38.858139,865337,BADAJOZ,BADAJOZ,BADAJOZ,06009,CARRETERA N432 KM. 2100,N,-6.94725,38.858139,1.285,1.145,,,1.235,,,,1.395,,,,GALP,P,OM,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-7.050811,38.883209,865338,BADAJOZ,BADAJOZ,BADAJOZ,06006,"AUTOVIA A5 km 405,715",D,-7.050811,38.883209,1.285,1.145,,,1.235,,,,1.395,,,,GALP,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.987611,38.895667,865339,BADAJOZ,BADAJOZ,BADAJOZ,06006,"CALLE NEVERO QUINCE, 57",D,-6.987611,38.895667,1.179,1.047,,,,,,,,,,,ADS,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.994306,38.901417,865340,BADAJOZ,BADAJOZ,BADAJOZ,06006,"AVENIDA ANTONIO NEVADO, 35",N,-6.994306,38.901417,,1.194,,,,,,,,,,,IDS,P,OM,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.685667,38.928472,865341,BADAJOZ,BADAJOZ,GUADIANA DEL CAUDILLO,06186,CARRETERA MATASDEPORRAS KM. SN,D,-6.685667,38.928472,1.269,1.079,0.759,,,,,,,,,,TALANTENA,P,dm,L-D: 06:30-10:00,L-D: 06:30-10:00,,2017-04-19T00:00:00.000Z
-6.921111,38.887806,865342,BADAJOZ,BADAJOZ,BADAJOZ,06008,"CTRA. N-V, KM km 395,7",N,-6.921111,38.887806,1.229,1.079,,,1.129,,,,1.365,,,,SARAS,P,OM,"L-S: 07:00-22:00; D: 08:00-22:00","L-S: 07:00-22:00; D: 08:00-22:00",,2017-04-19T00:00:00.000Z
-6.971472,38.861472,865343,BADAJOZ,BADAJOZ,BADAJOZ,06010,"CARRETERA CRTA. VALVERDE DE LEGANES KM, 1 KM. 1",N,-6.971472,38.861472,1.239,1.109,,,1.129,,,,1.349,,,,CARREFOUR,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.989861,38.867944,865344,BADAJOZ,BADAJOZ,BADAJOZ,06011,"CALLE C/ JOSE MARÍA ALCARAZ Y ALENDA, S/N",N,-6.989861,38.867944,1.239,1.109,,,1.129,,,,1.349,,,,CARREFOUR,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.961944,38.87875,865345,BADAJOZ,BADAJOZ,BADAJOZ,06008,"AVENIDA RICARDO CARAPETO, 2",D,-6.961944,38.87875,1.295,1.169,,,1.249,,,,1.395,,,,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.963917,38.881639,865346,BADAJOZ,BADAJOZ,BADAJOZ,06008,"AVENIDA CIRCUNVALACION, SN",D,-6.963917,38.881639,1.295,1.169,,,1.249,,,,1.395,,,,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.85975,38.886528,865347,BADAJOZ,BADAJOZ,VILLAFRANCO DEL GUADIANA,06195,CARRETERA NACIONAL V KM. 391,D,-6.85975,38.886528,1.189,1.039,,,1.099,,,,1.299,,,,IBERDOEX,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-6.989556,38.900389,865348,BADAJOZ,BADAJOZ,BADAJOZ,06006,"POLIGONO INDUSTRIAL EL NEVERO, 17",D,-6.989556,38.900389,1.139,1.019,,,,,,,,,,,AREA SAN MARTIN,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.996278,38.894833,865349,BADAJOZ,BADAJOZ,BADAJOZ,06006,"CALLE JERONIMO DE VALENCIA, 11",N,-6.996278,38.894833,1.183,1.055,,,,,,,1.325,,,,"E.S. NEVERO, S.L.",P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.945861,38.877889,865350,BADAJOZ,BADAJOZ,BADAJOZ,06008,"CARRETERA N-5 KM. 401,800",I,-6.945861,38.877889,1.269,1.149,,,1.225,,,,1.375,,,,REPSOL,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-19T00:00:00.000Z
-7.026722,38.883167,865351,BADAJOZ,BADAJOZ,BADAJOZ,06006,"CARRETERA N-V (MADRID-LISBOA) KM. 409,820",I,-7.026722,38.883167,,1.179,,,,,,,,,,,VALCARCE,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-7.027194,38.883583,865352,BADAJOZ,BADAJOZ,BADAJOZ,06006,"CARRETERA N-V (MADRID-LISBOA) KM. 409,820",D,-7.027194,38.883583,1.299,1.179,,,1.239,,,,,,,,VALCARCE,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
-6.831361,38.939917,865353,BADAJOZ,BADAJOZ,NOVELDA DEL GUADIANA,06183,"CALLE AIRE, S/N",N,-6.831361,38.939917,,1.055,0.633,,,,,,,,,,S. COOP. AGRICOLA DE COLONOS DE NOVELDA,P,dm,L-D: 24H,L-D: 24H,,2017-04-19T00:00:00.000Z
