localidad;código_postal;dirección;precio_gasolina_95;precio_gasóleo_a;precio_gasóleo_b;precio_gasolina_98;rótulo;fecha
CIUDAD REAL;13005;CARRETERA N-430 KM0 304,42;1289;1169;0;1429;REPSOL;21
CIUDAD REAL;13003;RONDA PUERTA DE TOLEDO, 5;1289;1169;0;0;REPSOL;21
CIUDAD REAL;13004;CALLE RONDA DE LA MATA, S/N;1289;1169;0;1429;REPSOL;21
CIUDAD REAL;13005;PG P0I0 LARACHE,PARC093, S0N0;1309;1189;0;1449;REPSOL;21
CIUDAD REAL;13005;CR N-401, 183,6;1289;1169;0;1429;REPSOL;21
CIUDAD REAL;13004;AVENIDA EUROPA, 45;102;1006;0;1029;EROSKI;21
CIUDAD REAL;13002;RONDA DE ALARCOS, 21;1289;1169;0;1429;REPSOL;21
CIUDAD REAL;13005;CR CR-514, 0,3;1289;1169;0;1429;REPSOL;21
CIUDAD REAL;13002;AVENIDA PARQUE DE CABAÑEROS, S/N;1295;1159;0;1435;GALP;21
CIUDAD REAL;13005;CARRETERA N-430 KM0 309,2;1289;1179;0;1404;CEPSA;21
CORRAL DE CALATRAVA;13190;CARRETERA N-420 KM0 180;1299;1169;0;1439;REPSOL;21
CORTIJOS DE ARRIBA;13427;AVDA0 DE LA LOMA, Nº 22;1279;1179;780;0;LA LOMA;21
DAIMIEL;13250;CALLE BODEGUEROS, PARCELA, 48;0;1099;0;0;GRUPO LOGISTICO CODAITRANS;21
DAIMIEL;13250;CALLE HERREROS, 1;0;1099;689;0;COOP0 LOS POZOS;21
DAIMIEL;13250;NACIONAL 420 km 236;1329;1209;0;0;ESTACION DE SERVICIOS DAIMIEL S0L0;21
DAIMIEL;13250;CARRETERA CM04114 KM0 50;1298;1179;824;0;FERSA COMBUSTIBLES, S0L0;21
DAIMIEL;13250;CARRETERA N-420 KM KM0 231;1239;1099;0;0;WETROAD;21
DAIMIEL;13250;CARRETERA NACIONAL 430 KM0 269,9;1309;1179;0;0;REPSOL;21
DAIMIEL;13250;CALLE TIBURCIO, 98;1299;1179;826;1399;REPSOL;21
DAIMIEL;13250;AVENIDA DE LA ENERGIA, 1;1299;1179;0;1429;REPSOL;21
FUENCALIENTE;13130;CARRETERA N-420 KM0 103,3;1309;1189;0;0;CEPSA;21
FUENTE EL FRESNO;13680;AVENIDA DE LA PROVINCIA, 78;1269;1149;709;0;CARBURANTES QUEVEDO;21
GRANATULA DE CALATRAVA;13360;CALLE ALMAGRO, 3;0;1012;700;0;SOCIEDAD COOPERATIVA AGRARIA EL SANTO CRISTO S0 COOP0 DE C-LM;21
HERENCIA;13640;420 km 275;1299;1179;814;1429;PETRONOR;21
HERENCIA;13640;AUTOVIA A-4 KM0 153,350;1309;1189;0;1409;REPSOL;21
HORCAJO DE LOS MONTES;13110;CARRETERA CIUDAD REAL KM0 49,200;1309;1179;849;1439;REPSOL;21
LLANOS DEL CAUDILLO;13220;POZOS S/N;0;0;685;0;COOP0 LOS LLANOS;21
LUCIANA;13108;CARRETERA N-430, KM0 268,6;1279;1169;799;0;REPSOL;21
MALAGON;13420;AVENIDA FUNDADORES COOPERATIVA, 69;1195;1063;669;0;MONTES NORTE ENERGETICOS, S0L0;21
MALAGON;13420;CALLE MADRID, 18;1185;1063;0;0;CARBURANTES SEAL;21
MALAGON;13420;CALLE CERVANTES, 23;1245;1126;736;1036;CEPSA;21
MALAGON;13429;CR N-401, 165;1289;1165;815;1413;REPSOL;21
MANZANARES;13200;AUTOVIA A-4 KM0 167;1309;1189;833;0;REPSOL;21
MANZANARES;13200;AUTOVIA A-4 KM0 162;1309;1189;817;0;REPSOL;21
MANZANARES;13200;CARRETERA N-4 KM0 171,1;1309;1189;0;1409;REPSOL;21
MANZANARES;13200;CALLE CTRA LA SOLANA, 56;1299;1159;816;1399;REPSOL;21
MANZANARES;13200;CL PASEO CRISTOBAL COLON S0N0;1309;1169;0;0;CAMPSA;21
MANZANARES;13200;CARRETERA CRTA0CR-141 KM 3,70 KM0 3,70;1309;1169;823;1429;REPSOL;21
MANZANARES;13200;CARRETERA ANTIGUA N-430 ESQ0 CTRA0 VILLARRUIBA KM0 S/N;1299;1149;0;1419;SARAS ENERGIA ;21
MANZANARES;13200;CALLE INDUSTRIAL D, 3;1259;1139;689;0;JESÚS DEL PERDÓN BODEGAS YUNTERO S0 COOP0 DE C-LM;21
MANZANARES;13200;AUTOVIA DE ANDALUCIA KM0 173;1315;1195;809;1415;REPSOL;21
MANZANARES;13200;PLAZA DEL GRAN TEATRO, S/N;1304;0;0;0;CEPSA;21
MEMBRILLA;13230;AUTOVIA CARRETERA GENERAL DE ANDALUCIA KM0 178,800;1314;1179;0;1429;CEPSA;21
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM0 371,100;1229;1105;0;0;GRUPO CACHO;21
MEMBRILLA;13230;CARRETERA N-430 KM0 366,275;1279;1174;796;1394;CEPSA;21
MEMBRILLA;13230;N-430 km 367,1;1289;1139;814;1409;SARAS;21
MEMBRILLA;13230;CARRETERA NACIONAL 430 KM 368 KM0 368;1309;1195;823;1419;REPSOL;21
MIGUELTURRA;13170;CARRETERA VALDEPEÑAS KM0 12;1199;1059;0;0;PETROGOOD;21
MIGUELTURRA;13170;CARRETERA CM-4127 KM0 2,350;1299;1184;0;1414;CEPSA;21
MIGUELTURRA;13170;CARRETERA CTRA VALDEPEÑAS-CIUDAD REAL KM0 4700;1289;1179;0;1404;CEPSA;21
MONTIEL;13326;CARRERA VILLANUEVA DE LOS INFANTES, S/N;1021;1069;655;0;CASTILLO DE MONTIEL;21
MONTIEL;13326;CARRETERA CM 3127 km 120600;1199;1099;700;0;EE0SS VALLE PIQUERAS;21
MORAL DE CALATRAVA;13350;CARRETERA CM-412 KM0 69,92;1299;1169;826;1439;CAMPSA;21
PEDRO MUÑOZ;13620;AVENIDA DE LA CONSTITUCION, 46;1299;1169;816;1439;REPSOL;21
PEDRO MUÑOZ;13620;AVENIDA JUAN CARLOS I, 99;1294;1179;812;0;BP OIL ESPAÑA;21
PEDRO MUÑOZ;13620;CARRETERA PEDRO MUÑOZ A SOCUELLAMOS KM0 1;0;1011;650;0;SUMNISTROS AGRICOLAS DE PEDRO MUÑOZ S0 COOP0 DE C-LM;21
PEDRO MUÑOZ;13620;AVENIDA CONSTITUCION, 20;1299;1179;0;0;CEPSA;21
PIEDRABUENA;13100;CARRETERA 7211 KM0 0,200;1209;1079;0;0;GP ENERGIA;21
PIEDRABUENA;13100;CARRETERA NACIONAL 430 KM0 219,7;1309;1169;0;0;CEPSA;21
PORZUNA;13120;CALLE TOLEDO,, 50;1289;1169;816;1429;REPSOL;21
POZUELO DE CALATRAVA;13179;CARRETERA CM-412 KM0 11;1299;1179;690;1038;CEPSA;21
PUEBLA DE DON RODRIGO;13109;CALLE CUATRO ESQUINAS ESQUINA LUIS SEVILLA, S/N;0;1063;669;0;MONTES NORTE ENERGETICOS, S0L0;21
PUEBLA DE DON RODRIGO;13109;CL AVENIDA CASTILLA-LA MANCHA, 1 (N-430 km 230);1289;1169;820;1429;CAMPSA;21
PUERTO LAPICE;13650;CR N-4, 134,8;1309;1189;0;1409;REPSOL;21
PUERTO LAPICE;13650;AUTOVIA N-IV KM0 140,7;1309;1179;0;1429;GALP;21
PUERTO LAPICE;13650;AUTOVIA N-IV KM0 140,5;1309;1179;0;1429;GALP;21
PUERTOLLANO;13500;CARRETERA ALMODOVAR KM0 1,500;1259;1109;0;0;CARBURANTES BLUE;21
PUERTOLLANO;13500;CARRETERA VARIANTE PUERTOLLANO-REPSOL KM0 11;0;1199;0;0;REPSOL;21
PUERTOLLANO;13500;CALLE ASDRUBAL, 68;1299;1189;0;1439;REPSOL;21
PUERTOLLANO;13500;CARRETERA N420 KM0 160,500;1299;1189;0;1439;REPSOL;21
PUERTOLLANO;13500;CR N-420, 160;1299;1189;0;1439;REPSOL;21
PUERTOLLANO;13500;CARRETERA CR-503 KM0 3,2;1299;1189;0;1439;REPSOL;21
PUERTOLLANO;13500;CARRETERA NACIONAL 420 KM0 160;1304;1134;0;0;CARREFOUR;21
PUERTOLLANO;13500;AVENIDA ANDALUCIA, S/N;102;1049;0;1029;E0LECLERC;21
RUIDERA;13249;AVENIDA CASTILLA LA MANCHA, 59;1299;1179;0;0;REPSOL;21
SACERUELA;13414;CALLE ARENAL, S/N;1289;1169;814;1429;REPSOL;21
SANTA CRUZ DE MUDELA;13730;CARRETERA N 4 KM0 216,9;1309;1189;846;1409;REPSOL;21
SANTA CRUZ DE MUDELA;13730;CARRETERA N- 4 KM0 216,9;1309;1189;846;0;REPSOL;21
SANTA CRUZ DE MUDELA;13730;AUTOVIA A-4 KM0 217,350;1315;1195;0;0;GALP;21
SANTA CRUZ DE MUDELA;13730;AUTOVIA ANDALUCIA KM0 222,5;1314;1179;0;1429;CEPSA;21
SOCUELLAMOS;13630;CM-3102 km 23,1;1299;1175;817;0;CEPSA;21
SOCUELLAMOS;13630;CARRETERA N-310 KM0 105;1309;1189;0;1415;GALP;21
SOCUELLAMOS;13630;CALLE CAMPO DE CRIPTANA, 29;0;1085;0;0;TRANSPORTES FELIX E HIJOS, S0L0;21
SOCUELLAMOS;13630;CALLE MANIGUA, 4;1303;1184;832;0;CEPSA;21
SOCUELLAMOS;13630;POLIGONO EL LLANO, CALLE A, PARCELA, 134;0;1087;656;0;OLIVARERA DE SOCUELLAMOS, S0COOP0 DE C-LM;21
SOCUELLAMOS;13630;CALLE PASEO DE LOS MARTIRES, 58;1299;1169;836;1439;CAMPSA;21
SOCUELLAMOS;13630;CR CR-100, 0,9;1299;1169;836;1439;CAMPSA;21
SOLANA (LA);13240;CARRETERA L-603 KM0 24,8;1299;1169;826;1399;REPSOL;21
SOLANA (LA);13240;CR N-430, 307,3;1299;1169;826;1399;CAMPSA;21
SOLANA (LA);13240;POLIGONO MAQUINA DE VAPOR, 1;0;1104;0;0;GALANES OIL;21
SOLANA (LA);13240;CARRETERA MANZANARES KM0 S/N;1279;1155;699;0;GRUPO CACHO;21
TERRINCHES;13341;AVENIDA CONSTITUCION, S/N;1195;1007;675;0;E0S0STO0DOMINGO DE GUZMAN;21
TOMELLOSO;13700;AVENIDA JUAN CARLOS I, 1;1199;1069;0;0;PUNTO AZUL GASOLINERA 24 HORAS;21
TOMELLOSO;13700;VEREDA SOCUELLAMOS, S/N;1274;1144;709;1394;SERTYMAN;21
TOMELLOSO;13700;PASEO SAN ISIDRO, 14;1299;1164;0;1413;CEPSA;21
TOMELLOSO;13700;C/ ZURBARAN0 Nº 19;1289;1159;759;0;REPSOL - TOMELLOSO;21
TOMELLOSO;13700;CARRETERA N-310 (ARGAMASILLA DE ALBA) KM0 0,800;0;1089;0;0;COTRATO;21
TOMELLOSO;13700;CALLE CAMPO, 146;1219;1099;0;0;EASY FUEL;21
TOMELLOSO;13700;CARRETERA CR-122 KM0 26,100;1299;1169;0;1429;REPSOL COMERCIAL;21
TOMELLOSO;13700;CALLE CAMPO, 117;1299;1169;0;1429;REPSOL;21
TOMELLOSO;13700;CARRETERA N-310 KM0 93;1199;1069;0;1394;EROSKI;21
TOMELLOSO;13700;CALLE SOCUELLAMOS, 92;1299;1169;0;1429;REPSOL;21
TOMELLOSO;13700;CM-400 km 129;1289;1159;796;0;CEPSA;21
TORRALBA DE CALATRAVA;13160;AUTOVIA A-43 KM0 290;1294;1179;0;1409;CEPSA;21
TORRALBA DE CALATRAVA;13160;CALLE DEHESA DEL CAMPO, 5;1195;1074;0;0;ENERGIAS AF;21
TORRE DE JUAN ABAD;13344;CR CR-614, 25;1299;1179;0;1439;REPSOL;21
TORRENUEVA;13740;CARRETERA VALDEPEÑAS 139 KM0 139;1259;1139;799;1399;SEYBE;21
VALDEPEÑAS;13300;AVENIDA DE LOS ESTUDIANTES, 70;1217;1067;0;0;PETROLOWCOST;21
VALDEPEÑAS;13300;CALLE SUIZA, 1;0;1049;0;0;ENTRECAMINOS;21
VALDEPEÑAS;13300;CARRETERA 601 KM0 0,700;1279;1139;0;1339;E0S LAGUNA;21
VALDEPEÑAS;13300;AUTOVIA A-4 KM0 198,7;1335;1175;0;1449;CEPSA;21
VALDEPEÑAS;13300;A-4 km 198,7;1335;1175;0;1449;CEPSA;21
VALDEPEÑAS;13300;AVENIDA DEL VINO, SN;1239;1079;0;1309;SIMPLY;21
VALDEPEÑAS;13300;CR CM-412, 84,8;1299;1169;826;1439;REPSOL;21
CONSOLACION;13310;AUTOVIA ANDALUCIA KM0 185;1309;1189;846;1409;REPSOL;21
VALDEPEÑAS;13300;AVENIDA DEL SUR, S/N;1275;1119;0;1415;SARAS ENERGIA ;21
VALDEPEÑAS;13300;CTRA0 N-IV, P0K0 210;1309;1179;0;1419;GALP;21
VALDEPEÑAS;13300;AUTOVIA  A-4 km 191,536;1288;1161;0;1418;SHELL;21
VALDEPEÑAS;13300;CARRETERA N - IV KM0 210;1289;1159;0;0;ESAP LA PARÁ ROCIERA;21
VALDEPEÑAS;13300;CL SEIS DE JUNIO, 247;1305;1185;833;1445;REPSOL;21
VALDEPEÑAS;13300;AUTOVIA A-4 KM0 193,6;1032;1185;888;1435;CEPSA;21
